RCDTS,Type,School_Name,District,School_Type,PERC_ELA_Proficiency,NR_ELA_Proficiency,PERC_Math_Proficiency,NR_Math_Proficiency
070161300022010,School,Whittier Elementary School,Cook County SD 130,ELEMENTARY,24.6,46.0,9.6,18.0
070161300022011,School,Lincoln Elem School,Cook County SD 130,ELEMENTARY,41.8,38.0,47.8,43.0
070161300022012,School,Nathan Hale Primary School,Cook County SD 130,ELEMENTARY,28.6,26.0,39.6,36.0
070161300022018,School,Paul Revere Primary School,Cook County SD 130,ELEMENTARY,13.5,15.0,15.3,17.0
070161300022019,School,George Washington Elementary Sch,Cook County SD 130,ELEMENTARY,19.5,30.0,14.4,22.0
070161320022001,School,Burr Oak Elem School,Calumet Public SD 132,ELEMENTARY,17.5,60.0,10.5,36.0
070161320022002,School,Calumet Elem School,Calumet Public SD 132,ELEMENTARY,26.1,94.0,8.6,31.0
070161320022003,School,Burr Oak Academy,Calumet Public SD 132,ELEMENTARY,,,,
070161330022001,School,Gen George Patton Elem School,Gen George Patton SD 133,ELEMENTARY,15.8,23.0,4.8,7.0
070161350022001,School,High Point Elem School,Orland SD 135,ELEMENTARY,54.1,239.0,44.7,197.0
070161350022002,School,Orland Park Elem School,Orland SD 135,ELEMENTARY,,,,
070161350022007,School,Prairie Elem School,Orland SD 135,ELEMENTARY,,,,
070161350022008,School,Liberty Elem School,Orland SD 135,ELEMENTARY,50.8,283.0,39.0,217.0
070161350022010,School,Orland Center School,Orland SD 135,ELEMENTARY,,,,
070161350022012,School,Centennial School,Orland SD 135,ELEMENTARY,57.8,26.0,75.6,34.0
070161350022013,School,Meadow Ridge School,Orland SD 135,ELEMENTARY,56.5,316.0,44.5,249.0
070161400022001,School,Fernway Park Elem School,Kirby SD 140,ELEMENTARY,38.0,78.0,40.3,83.0
070161400022004,School,Helen Keller Elem School,Kirby SD 140,ELEMENTARY,50.6,79.0,51.3,80.0
070161400022005,School,John A Bannes Elem School,Kirby SD 140,ELEMENTARY,56.1,115.0,61.5,126.0
070161400022006,School,Christa McAuliffe School,Kirby SD 140,ELEMENTARY,53.1,145.0,54.6,149.0
070161400022007,School,Millennium Elem School,Kirby SD 140,ELEMENTARY,58.6,156.0,59.8,159.0
070161420022002,School,Ridge Early Childhood Center,Forest Ridge SD 142,ELEMENTARY,,,,
070161420022003,School,Lee R Foster Elem School,Forest Ridge SD 142,ELEMENTARY,42.1,101.0,35.8,86.0
070161420022004,School,Kerkstra Elem School,Forest Ridge SD 142,ELEMENTARY,48.2,124.0,40.5,104.0
070161430022001,School,Central Park Elem School,Midlothian SD 143,ELEMENTARY,14.1,79.0,11.0,62.0
070161430022002,School,Kolmar Elem School,Midlothian SD 143,ELEMENTARY,18.0,81.0,8.9,40.0
070161430022004,School,Springfield Elem School,Midlothian SD 143,ELEMENTARY,23.1,43.0,19.9,37.0
070161430022005,School,Spaulding School,Midlothian SD 143,ELEMENTARY,,,,
070161435022001,School,Childs Elem School,Posen-Robbins ESD 143-5,ELEMENTARY,25.7,9.0,42.9,15.0
070161435022006,School,Posen Elem School,Posen-Robbins ESD 143-5,ELEMENTARY,22.7,73.0,15.3,49.0
070161435022007,School,Turner Elem School,Posen-Robbins ESD 143-5,ELEMENTARY,,,,
070161435022010,School,Gordon School,Posen-Robbins ESD 143-5,ELEMENTARY,29.7,27.0,26.4,24.0
070161440022003,School,Fieldcrest Elem School,Prairie-Hills ESD 144,ELEMENTARY,42.7,50.0,35.0,41.0
